"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDK4",1.60817436850109e-28,0.348501640959265,0.847,0.785,5.41858271722758e-24
"EID1",1.1138407313914e-27,0.385679972903826,0.809,0.748,3.75297496035019e-23
"PHPT1",3.32220219024721e-27,0.31909460977282,0.935,0.913,1.11938280598189e-22
"FGF8",5.23984398893519e-27,0.464619927289077,0.412,0.24,1.76551303363182e-22
"COTL1",7.88881000302569e-27,0.311917320445533,0.884,0.825,2.65805564241948e-22
"TRAPPC1",1.71683813355147e-26,0.364190676805795,0.766,0.668,5.78471440718831e-22
"ZNF436-AS1",2.13218040041836e-26,0.33607829008426,0.58,0.38,7.18416864116962e-22
"TMEM106C",1.73459008109657e-25,0.381448521690911,0.463,0.311,5.84452781924679e-21
"UBB",5.39583487617361e-25,0.298402191229036,1,0.987,1.81807260317794e-20
"SRP9",1.35677072990778e-24,0.296142897620224,0.935,0.906,4.57150329735129e-20
"CNBP",4.62745704065527e-24,0.281021995859256,0.948,0.935,1.55917537527839e-19
"PCBP2",1.23543291667564e-23,0.260291957522626,0.981,0.968,4.16266766944691e-19
"DCTN3",1.51018288568013e-23,0.372722424848317,0.587,0.465,5.08841021501062e-19
"SIX3",1.62922526384013e-23,0.352359120697542,0.752,0.567,5.48951160398294e-19
"FBLN1",1.90124720439572e-22,0.383765824643408,0.668,0.569,6.40606233049093e-18
"RBP1",1.90653483266103e-22,0.349169230311906,0.664,0.52,6.42387846516809e-18
"ATP2B1",5.38129046689126e-22,0.331617821489257,0.668,0.547,1.81317200991434e-17
"HES1",3.07365313631907e-21,0.363313462132115,0.701,0.592,1.03563668775135e-16
"MZT2B",3.24617477122668e-21,0.25489029872849,0.968,0.963,1.09376612741712e-16
"PKM",3.97401094528404e-21,0.275668161478344,0.934,0.909,1.339003247904e-16
"LAMP5",9.81823509724638e-21,0.316922924790273,0.409,0.263,3.3081561336662e-16
"SKP1",1.5834185303546e-20,0.267190985470704,0.968,0.944,5.33517039617678e-16
"APLP1",2.22084238918854e-20,0.256220645740834,0.267,0.145,7.48290634613185e-16
"C12orf57",3.05364197294718e-20,0.275802906428469,0.906,0.884,1.02889412636482e-15
"NRG1",5.20618681906494e-20,0.263591797526526,0.3,0.171,1.75417258681574e-15
"TSPAN3",2.45179680039866e-19,0.337650425538126,0.561,0.457,8.26108413926326e-15
"SOX2",5.21052875561141e-19,0.288026965218643,0.931,0.896,1.75563555891571e-14
"CNTFR",5.83115596605354e-19,0.293908900558063,0.452,0.314,1.96474969120208e-14
"RNF175",6.336857900429e-19,0.264881207607638,0.303,0.182,2.13514090097055e-14
"IFT57",9.03913092438931e-19,0.350707220282079,0.511,0.395,3.04564477366373e-14
"TTC3",1.17070359659507e-18,0.298461770727038,0.503,0.358,3.94456869836742e-14
"DAD1",1.19849025548035e-18,0.309797375813121,0.744,0.692,4.0381930668155e-14
"CALM3",3.78754897477639e-18,0.262167525735919,0.888,0.865,1.27617675156116e-13
"TCTEX1D2",7.84434594923136e-18,0.30237149722539,0.466,0.358,2.64307392413401e-13
"CENPH",1.03443508763894e-17,0.33108395634809,0.682,0.619,3.48542558429063e-13
"CUEDC2",1.4713045155121e-17,0.336649145452519,0.522,0.429,4.95741343456647e-13
"EFNA5",2.69853713610801e-17,0.280704581467347,0.595,0.456,9.09245102640234e-13
"PRTG",2.70121614482258e-17,0.258960257733295,0.585,0.433,9.10147767836522e-13
"SFRP1",3.54156959863132e-17,0.262327599069035,0.905,0.788,1.19329646056284e-12
"YWHAQ",4.18284204049296e-17,0.28893831896048,0.883,0.858,1.4093667971237e-12
"CDH2",2.33550377688708e-16,0.260958453009128,0.357,0.232,7.86924642584334e-12
"LUC7L3",2.82324593528638e-16,0.280396017915835,0.8,0.776,9.51264485435392e-12
"DHFR",2.84308565048578e-16,0.36633104145701,0.455,0.369,9.57949279074679e-12
"ZNF428",2.93006121273504e-16,0.293894974355986,0.723,0.661,9.87254825018946e-12
"PMEL",3.02288634707604e-16,0.325589945684515,0.672,0.571,1.0185313257838e-11
"DEK",3.87669435738486e-16,0.263133517063164,0.877,0.855,1.30621339677725e-11
"NDN",5.46968109219253e-16,0.317505957982183,0.466,0.359,1.84295434720335e-11
"SDC2",2.2469014761871e-15,0.275667351285346,0.405,0.291,7.57070983386483e-11
"ODC1",2.2659045396523e-15,0.262708315808085,0.715,0.643,7.63473875590445e-11
"RCN2",2.36537136177508e-15,0.253962409432755,0.848,0.815,7.96988226636495e-11
"PTOV1",5.64223973199354e-15,0.285981844666428,0.753,0.72,1.9010962552979e-10
"TUBB2B",6.68744861058186e-15,0.257747013496171,0.871,0.819,2.25326893484945e-10
"ARL3",7.32029492769889e-15,0.272699471424874,0.72,0.678,2.46650017293886e-10
"PLP1",1.25247119873611e-14,0.328433263989841,0.455,0.35,4.22007645702144e-10
"RRM1",2.54522946321159e-14,0.281658201513709,0.375,0.277,8.57589615334513e-10
"RP11-89K21.1",2.69915399132855e-14,0.292366598106982,0.446,0.327,9.0945294583824e-10
"TLE4",3.81114412498018e-14,0.298325866125108,0.532,0.433,1.28412690147082e-09
"FZD3",7.29127374294407e-14,0.272992278737267,0.612,0.528,2.45672177494757e-09
"NLRP1",1.36728349154568e-13,0.2830748046255,0.383,0.275,4.60692499641401e-09
"CTNNAL1",2.18379313438188e-13,0.273174647056042,0.518,0.437,7.35807258698632e-09
"TMEM97",2.62490986534382e-13,0.294566777826654,0.614,0.568,8.84437130028947e-09
"MMD",5.03349781837835e-13,0.263117224705509,0.5,0.414,1.6959867549244e-08
"MGST1",1.2511418400464e-12,0.253928950516622,0.902,0.903,4.21559731585234e-08
"ALDH2",1.33315855583201e-12,0.274432062072878,0.431,0.334,4.49194443802038e-08
"AKR1B1",2.19260142858897e-12,0.274923106031534,0.678,0.634,7.38775125348768e-08
"UROS",4.01096762998129e-12,0.256890528569059,0.562,0.49,1.3514554332459e-07
"AKR7A2",1.31777636418023e-11,0.278248959094028,0.503,0.439,4.44011568146885e-07
"NHLRC3",6.5165657841929e-11,0.270694426875201,0.433,0.362,2.19569167532596e-06
"TP53TG1",7.53479369159405e-11,0.260993849036304,0.459,0.386,2.5387733864457e-06
"PCNA",8.02380267386291e-11,0.294037914046747,0.489,0.43,2.70354007293137e-06
"ANAPC13",2.36161745582127e-10,0.252638172353344,0.584,0.548,7.95723385564419e-06
"PTGR1",2.73450767735507e-10,0.259462565178907,0.394,0.315,9.21365016808017e-06
"ITGB3BP",4.88136629460308e-10,0.27267085216869,0.486,0.433,1.64472755930356e-05
"HIST1H4C",5.6428804271051e-10,0.623013261185756,0.876,0.875,1.90131213110879e-05
"NAV1",8.51052341231279e-10,0.251279425206249,0.384,0.311,2.86753575854467e-05
"BEX1",4.2274335038379e-08,0.258049908238169,0.503,0.452,0.00142439144478314
